ID,WorkflowStep,WorkflowStepStatus,WorkflowStepOutcome,ReasonName,InspectionBegin,InspectionFinish,InstallationDate,MeasureName,Installer,Inspector,PassedQty,FailedQty,IncentiveAmount,InstalledMeasureQty,UnitOfMeasure,FailCodes
124806,Inspection,Work Completed,Work Complete,,10/17/2023,2023-10-17,9/28/2023,Smart Hose Bib Controller,Installer 7137,Inspector 7138,1,0,150,1,Each,
124806,Inspection,Work Completed,Work Complete,,10/17/2023,2023-10-17,9/28/2023,Smart Irrigation Water Controller – 8 Stations,Installer 7137,Inspector 7138,1,0,330,1,Each,
124712,Inspection,Work Completed,Work Complete,,10/17/2023,2023-10-17,9/12/2023,"High Efficiency Toilets, 1.0 gpf",Installer 7137,Inspector 7138,1,0,425,1,Each,
78316,Reinspection,Work Completed,Work Complete,,10/17/2023,2023-10-19,3/7/2023,"Duct Seal and Test, Residential, High (40% to 12%) SFm & MFm pre 2006",Installer 7136,Inspector 7135,3,0,218.28,3,Cap-Tons,
124340,Inspection,Work Completed,Work Complete,,10/17/2023,2023-10-18,8/29/2023,"High Efficiency Toilets, 1.0 gpf",Installer 7137,Inspector 7138,1,0,425,1,Each,
124340,Inspection,Work Completed,Work Complete,,10/17/2023,2023-10-18,8/29/2023,"High Efficiency Toilets, 1.0 gpf",Installer 7137,Inspector 7138,1,0,425,1,Each,
124247,Inspection,Work Completed,Work Complete,,10/17/2023,2023-10-17,9/8/2023,"High Efficiency Toilets, 1.0 gpf",Installer 7137,Inspector 7138,1,0,425,1,Each,
124247,Inspection,Work Completed,Work Complete,,10/17/2023,2023-10-17,9/8/2023,"High Efficiency Toilets, 1.0 gpf",Installer 7137,Inspector 7138,1,0,425,1,Each,
124247,Inspection,Work Completed,Work Complete,,10/17/2023,2023-10-17,9/8/2023,Smart Hose Bib Controller,Installer 7137,Inspector 7138,1,0,150,1,Each,
124247,Inspection,Work Completed,Work Complete,,10/17/2023,2023-10-17,9/8/2023,Smart Irrigation Water Controller – 8 Stations,Installer 7137,Inspector 7138,1,0,330,1,Each,
109023,Inspection,Work Completed,Work Complete,,10/17/2023,2023-10-19,7/31/2023,Tankless Water Heaters,Installer 7135,Inspector 7316,1,0,800,1,Each,
995251,Inspection,Work Completed,Work Complete,,10/16/2023,2023-10-17,8/1/2023,Tankless Water Heaters,Installer 7316,Inspector 7316,1,0,1000,1,Each,
985934,Inspection,Work Completed,Work Complete,,10/16/2023,2023-10-18,9/20/2023,Tankless Water Heaters,Installer 7135,Inspector 7138,1,0,800,1,Each,
49100,Inspection,Work Completed,Work Complete,,10/16/2023,2023-10-18,9/27/2023,Tankless Water Heaters,Installer 7316,Inspector 7138,1,0,1000,1,Each,
49100,Inspection,Work Completed,Work Complete,,10/16/2023,2023-10-18,9/27/2023,Existing Equipment,Installer 7316,Inspector 7138,1,0,0,1,Each,
999443,Inspection,Work Completed,Work Complete,,10/16/2023,2023-10-17,8/30/2023,Tankless Water Heaters,Installer 7316,Inspector 7316,1,0,1000,1,Each,
729438,Reinspection,Work Completed,Work Complete,,10/16/2023,2023-10-16,7/28/2023,Tankless Water Heaters,Installer 7135,Inspector 7135,1,0,1200,1,Each,
71534,Inspection,Work Completed,Work Complete,,10/16/2023,2023-10-19,10/3/2023,Energy Star Dryer,Installer 7135,Inspector 7138,1,0,70,1,Each,
989437,Reinspection,Work Completed,Work Complete,,10/17/2023,2023-10-17,7/19/2023,"Direct Mail Kit - Faucet Aerator for Commercial Buildings, Public Lavatory - 0.5 GPM Flow Rate AOE",Installer 7497,Inspector 7135,1,0,8.24,1,Each,
989437,Reinspection,Work Completed,Work Complete,,10/17/2023,2023-10-17,7/19/2023,"Direct Mail Kit - Faucet Aerator for Commercial Buildings, Public Lavatory - 0.5 GPM Flow Rate AOE",Installer 7497,Inspector 7135,1,0,8.24,1,Each,
989437,Reinspection,Work Completed,Work Complete,,10/17/2023,2023-10-17,7/19/2023,"Direct Mail Kit - Low Flow Pre-Rinse Spray Valve, < .75 GPM NR",Installer 7497,Inspector 7135,1,0,49.5,1,Each,
993052,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-19,9/20/2023,Tankless Water Heaters,Installer 7316,Inspector 7316,1,0,1200,1,Each,
990536,Reinspection,Work Completed,Work Complete,,10/13/2023,2023-10-13,8/18/2023,"Direct Mail Kit - Faucet Aerator for Commercial Buildings, Public Lavatory - 0.5 GPM Flow Rate AOE",Installer 7497,Inspector 7135,1,0,8.24,1,Each,
990536,Reinspection,Work Completed,Work Complete,,10/13/2023,2023-10-13,8/18/2023,"Direct Mail Kit - Faucet Aerator for Commercial Buildings, Public Lavatory - 0.5 GPM Flow Rate AOE",Installer 7497,Inspector 7135,1,0,8.24,1,Each,
990536,Reinspection,Work Completed,Work Complete,,10/13/2023,2023-10-13,8/18/2023,"Direct Mail Kit - Low Flow Pre-Rinse Spray Valve, < .75 GPM NR",Installer 7497,Inspector 7135,1,0,49.5,1,Each,
990350,Reinspection,Work Completed,Work Complete,,10/13/2023,2023-10-13,7/28/2023,"Direct Mail Kit - Faucet Aerator for Commercial Buildings, Public Lavatory - 0.5 GPM Flow Rate AOE",Installer 7497,Inspector 7135,1,0,8.24,1,Each,
990350,Reinspection,Work Completed,Work Complete,,10/13/2023,2023-10-13,7/28/2023,"Direct Mail Kit - Faucet Aerator for Commercial Buildings, Public Lavatory - 0.5 GPM Flow Rate AOE",Installer 7497,Inspector 7135,1,0,8.24,1,Each,
990350,Reinspection,Work Completed,Work Complete,,10/13/2023,2023-10-13,7/28/2023,"Direct Mail Kit - Low Flow Pre-Rinse Spray Valve, < .75 GPM NR",Installer 7497,Inspector 7135,1,0,49.5,1,Each,
986083,Inspection,Work Completed,Work Complete,,10/16/2023,2023-10-19,9/20/2023,Tankless Water Heaters,Installer 7135,Inspector 7138,1,0,80,1,Each,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
60037,Inspection,Work Completed,Work Complete,,10/13/2023,2023-10-16,9/27/2023,"Tankless Water Heater <200 kBtu/hr (Small), Tier 4 (>=0.96 UEF)",Installer 7497,Inspector 7135,199.9,0,1655.17,199.9,Cap-kBTUh,
